Day	Start Time	End Time	Room	Genra	Panel Title	Panel Description	Panel participants
Sat	03:30:00 PM	04:30:00 PM	A3	Comics	Non-Superhero Comic Books	Share some of your favorite comic books that don't involve super heroes or super-powered characters likeY: The Last Man and others.	Terry Beatty, David Emerson, Patrick Fisher, Jonathan Palmer, Lars Pearson, Damian Sheridan
Sat	03:30:00 PM	04:30:00 PM	A4	HotDish	What Does Franchise Continuity Mean to You?	Continuity, or what is canon, is a very personal thing. - Which Buffy Season 8 do you count	the comic version, the novels, or both? - Do you consider animated Trek the last two years of the 5-year mission?- - Where do Doctor Who audios fit in? - What about the Babylon 5 comic books or Star Wars video games? Or does it even matter at all? - Remember - no one isright orwrong - come and share some of your more inventive and interesting canon theories in this respectful round-table discussion.
Sat	03:30:00 PM	04:30:00 PM	A6	Lit	Influence of Classic Lit	How does classic literature tie into and influence speculative fiction?	Matthew Lee Davis, Ann Laabs, Doug Texter, Heidi Waterhouse, Karl Wolff
Sat	03:30:00 PM	04:30:00 PM	A7	Science	Engineering Hollywood Robots	When trying to build a famous robot like Robbie, what can actually be achieved, what's infeasable, and what can be improved upon? Sponsored by the Twin Cities Robotics Club.	Richard Caylor, Christian Colquhoun, William Crolley, Terry Faust, Bill McTeer, Bob Odegard, Michael Walsh
Sat	03:30:00 PM	04:30:00 PM	A8	Proj	Fun Tai Chi Games for All Ages	This workshop teaches the basics of tai chi through a series of simple games. Each of these games are cooperative in nature, and leads to the true essence of taiji which is to become one with your partner. This workshop also demonstrates how to adapt each game to everyone's ability. Bring your sense of humor and be be prepared to have a blast!!	Jose' Figueroa
Sat	03:30:00 PM	04:30:00 PM	Bloom	Movies	Kingdom of the Crystal Skull	The man in the hat is back. Was the latest Indiana Jones Adventure everything we were hoping or did Spielberg pull a Lucas on us? Dust off your bullwhip and discuss any Indy topics that strike your fancy!	Romeo Azar, Mike Helde, Troy LaFaye, Dan Wallace, Tim Wick
Sat	03:30:00 PM	04:30:00 PM	Edina	TV	Reimagining of TV Shows	It seems like the movie-remake craze of the past several years has filtered down to our television sets. What makes a remake successful? When should a show be rebooted (BSG) vs. making it a continuation (Trek: Next Gen, Doctor Who)?	Derek Mahr, Joan Marie Verba
Sat	03:30:00 PM	04:30:00 PM	Kr	Science	Where Should We Go in Space?	Should we emphasize human or robotic expeditions? How should we replace the shuttle? Should we expand on the space station? Should we go back to the Moon and build a permanent outpost? Should we make a human expedition to Mars? Should we search Europa's ocean for life? And? Or?	Paul F. Richards
Sat	03:30:00 PM	04:30:00 PM	LL	Lit	Broad Universe Rapidfire Reading	This is a fiction reading by members of Broad Universe, an organization which promotes the work of women SF&F writers.	Catherine Lundoff, Sharon K. Richards, Ruth Souther, Kathryn Sullivan
Sat	03:30:00 PM	04:30:00 PM	P1	AV	Science of Effects	Just how much does science factor into set and effects designs? Is there a point where science is thrown out to achieve the 'cool' factor?	Crist Ballas, Daren Dochterman, Andrew Probert, Vincent Truitner
Sat	03:30:00 PM	04:30:00 PM	Sign	Auto	Signing w/Peter & John	Signing/Autographing	John Kovalic, Peter Mayhew
Sat	05:00:00 PM	06:00:00 PM	101	Proj	Caped Wonder!	Create your own superhero! First, think of what your superhero's powers and training are. Then create a name for your character. Finally, design a symbol, make a cape, and even a mask.	Rachael Salisbury
Sat	05:00:00 PM	06:00:00 PM	A2	Gaming	Kovalic!	Spend an hour with John Kovalic, a game designer and illustrator. Maybe you'll even learn the secret history of Apples to Apples.	John Kovalic, Video Team
